epoch,step,time_forward,train_loss,valid_loss
0,0,,,14507.98046875
0,0,2.5589330196380615,14669.447265625,
1,1,,,14241.1337890625
1,1,1.7842810153961182,14410.8701171875,
2,2,,,14046.8486328125
2,2,2.100705146789551,14176.5634765625,
3,3,,,13855.328125
3,3,1.804697036743164,13980.2109375,
4,4,,,13686.3984375
4,4,1.5936981439590454,13806.7919921875,
5,5,,,13526.10546875
5,5,2.1744489669799805,13648.048828125,
6,6,,,13398.7197265625
6,6,2.14748215675354,13489.5380859375,
7,7,,,13261.41015625
7,7,2.0032029151916504,13345.6982421875,
8,8,,,13118.0302734375
8,8,2.009082078933716,13220.953125,
9,9,,,13007.3125
9,9,1.8118029832839966,13098.23046875,
10,10,,,12899.6279296875
10,10,2.0697667598724365,12987.09765625,
11,11,,,12827.890625
11,11,1.4296510219573975,12886.3310546875,
12,12,,,12777.01953125
12,12,2.3522849082946777,12808.9482421875,
13,13,,,12689.8232421875
13,13,2.0387840270996094,12737.4873046875,
14,14,,,12651.3232421875
14,14,2.9170026779174805,12672.6865234375,
15,15,,,12587.24609375
15,15,1.6101338863372803,12628.390625,
16,16,,,12530.3037109375
16,16,2.3969857692718506,12572.5400390625,
17,17,,,12489.291015625
17,17,2.102903127670288,12523.890625,
18,18,,,12428.423828125
18,18,2.5247325897216797,12471.220703125,
19,19,,,12359.59765625
19,19,1.6349949836730957,12410.8603515625,
20,20,,,12300.767578125
20,20,2.0874719619750977,12359.5029296875,
21,21,,,12250.21484375
21,21,3.255263090133667,12302.4951171875,
22,22,,,12199.8017578125
22,22,2.265491008758545,12256.73046875,
23,23,,,12175.046875
23,23,1.9148852825164795,12213.3076171875,
24,24,,,12112.3134765625
24,24,1.8344742059707642,12164.2529296875,
25,25,,,12063.41015625
25,25,1.9906280040740967,12121.01953125,
26,26,,,12018.9951171875
26,26,2.296360969543457,12079.6123046875,
27,27,,,11989.1982421875
27,27,2.042246103286743,12032.0087890625,
28,28,,,11950.3740234375
28,28,1.503729224205017,11997.5078125,
29,29,,,11909.8701171875
29,29,1.3478890657424927,11954.1533203125,
30,30,,,11857.4208984375
30,30,1.6930649280548096,11915.6357421875,
31,31,,,11813.8828125
31,31,1.6304409503936768,11878.201171875,
32,32,,,11786.7900390625
32,32,1.5333160161972046,11834.0771484375,
33,33,,,11762.251953125
33,33,2.045912027359009,11807.447265625,
34,34,,,11725.125
34,34,1.9043627977371216,11769.5244140625,
35,35,,,11683.0888671875
35,35,1.72475004196167,11733.26953125,
36,36,,,11645.361328125
36,36,1.8684711456298828,11702.6328125,
37,37,,,11614.2333984375
37,37,1.6262038946151733,11666.12890625,
38,38,,,11576.654296875
38,38,2.0390830039978027,11638.904296875,
39,39,,,11562.0009765625
39,39,1.7303438186645508,11602.7900390625,
40,40,,,11508.19140625
40,40,1.8569259643554688,11569.662109375,
41,41,,,11480.798828125
41,41,2.1784210205078125,11537.673828125,
42,42,,,11449.6171875
42,42,2.175924062728882,11508.5205078125,
43,43,,,11405.88671875
43,43,1.808398723602295,11482.7578125,
44,44,,,11375.4287109375
44,44,1.570836067199707,11446.58203125,
45,45,,,11342.0625
45,45,4.578439712524414,11411.1923828125,
46,46,,,11326.3779296875
46,46,1.5190051794052124,11392.1396484375,
47,47,,,11289.18359375
47,47,1.6109157800674438,11362.14453125,
48,48,,,11260.1220703125
48,48,1.4799752235412598,11328.5439453125,
49,49,,,11226.0810546875
49,49,1.7156288623809814,11299.3701171875,
50,50,,,11187.712890625
50,50,1.6866209506988525,11277.8203125,
51,51,,,11170.6904296875
51,51,1.699779987335205,11250.908203125,
52,52,,,11149.5146484375
52,52,1.5675570964813232,11222.412109375,
53,53,,,11115.978515625
53,53,1.8713431358337402,11189.7412109375,
54,54,,,11086.259765625
54,54,1.6303579807281494,11163.078125,
55,55,,,11083.4677734375
55,55,1.7485692501068115,11140.9189453125,
56,56,,,11032.291015625
56,56,1.7094440460205078,11119.9755859375,
57,57,,,11023.1875
57,57,2.23704195022583,11094.3017578125,
58,58,,,10992.7294921875
58,58,2.1853229999542236,11074.8154296875,
59,59,,,10976.3486328125
59,59,1.2587100267410278,11052.9228515625,
60,60,,,10944.216796875
60,60,1.528200387954712,11026.078125,
61,61,,,10926.1767578125
61,61,1.38907790184021,11003.138671875,
62,62,,,10899.3955078125
62,62,1.6606802940368652,10983.658203125,
63,63,,,10873.56640625
63,63,1.9360138177871704,10959.60546875,
64,64,,,10864.4326171875
64,64,1.715792179107666,10937.05859375,
65,65,,,10839.5478515625
65,65,1.5391170978546143,10922.1552734375,
66,66,,,10815.5966796875
66,66,1.4504404067993164,10896.357421875,
67,67,,,10795.59375
67,67,1.5273473262786865,10878.1923828125,
68,68,,,10791.1162109375
68,68,1.9543930292129517,10863.216796875,
69,69,,,10763.326171875
69,69,1.4199318885803223,10845.337890625,
70,70,,,10748.83984375
70,70,1.5724992752075195,10820.3935546875,
71,71,,,10726.66015625
71,71,1.619744062423706,10809.9462890625,
72,72,,,10712.3857421875
72,72,1.4392367601394653,10789.4130859375,
73,73,,,10695.34375
73,73,1.6353497505187988,10772.5380859375,
74,74,,,10678.34375
74,74,1.651586890220642,10754.6279296875,
75,75,,,10671.0693359375
75,75,1.5762722492218018,10742.6376953125,
76,76,,,10655.455078125
76,76,1.4990230798721313,10727.1640625,
77,77,,,10634.208984375
77,77,1.5302972793579102,10716.2158203125,
78,78,,,10625.2685546875
78,78,1.5959140062332153,10701.50390625,
79,79,,,10614.2880859375
79,79,1.5909969806671143,10683.173828125,
80,80,,,10597.603515625
80,80,6.673437595367432,10677.6298828125,
81,81,,,10593.6123046875
81,81,1.663748025894165,10659.4287109375,
82,82,,,10564.736328125
82,82,1.5007140636444092,10648.099609375,
83,83,,,10562.87109375
83,83,1.1793789863586426,10634.8701171875,
84,84,,,10550.013671875
84,84,1.388624906539917,10614.7001953125,
85,85,,,10539.716796875
85,85,1.2720401287078857,10609.546875,
86,86,,,10537.6455078125
86,86,1.1778252124786377,10596.197265625,
87,87,,,10525.00390625
87,87,1.6409164667129517,10586.828125,
88,88,,,10508.1875
88,88,1.6521661281585693,10575.4677734375,
89,89,,,10505.8115234375
89,89,1.5238430500030518,10562.45703125,
90,90,,,10490.302734375
90,90,1.8455917835235596,10552.5419921875,
91,91,,,10484.09765625
91,91,2.064399242401123,10544.3740234375,
92,92,,,10474.06640625
92,92,1.793878197669983,10530.7578125,
93,93,,,10464.5458984375
93,93,1.8775891065597534,10520.466796875,
94,94,,,10459.3974609375
94,94,1.9486510753631592,10508.5439453125,
95,95,,,10447.42578125
95,95,1.6348190307617188,10505.181640625,
96,96,,,10437.681640625
96,96,1.7710238695144653,10493.3876953125,
97,97,,,10427.03515625
97,97,1.3920869827270508,10487.91796875,
98,98,,,10433.7314453125
98,98,1.6587780714035034,10476.322265625,
99,99,,,10418.037109375
99,99,1.7990761995315552,10468.2646484375,
100,100,,,10407.84765625
100,100,1.7560638189315796,10458.392578125,
